product_name,price 

Amazon web site 

Apple iPhone 12| 64GB| Black - Fully Unlocked (Renewed), $369.99
Apple iPhone 11 Pro| US Version| 256GB| Space Gray - Unlocked (Renewed), $379.00
Apple iPhone SE (2nd Generation)| 64GB| Red - Unlocked (Renewed), $119.00
Apple iPhone 11| 256GB| Black - Fully Unlocked (Renewed), $319.99
Apple iPhone XS| US Version| 256GB| Space Gray - Unlocked (Renewed), $249.00
Apple iPhone 13 Pro Max| 128GB| Sierra Blue - Unlocked (Renewed), $829.96
Total by Verizon iPhone 11| 64GB| Black - Prepaid Smartphone (Locked), $299.99
SAMSUNG Galaxy S20 FE 5G Cell Phone| Factory Unlocked Android Smartphone| 128GB| Pro Grade Camera| 30X Space Zoom| Night Mode| US Version| Cloud Navy, $590.52
Moto G stylus | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | Black, $149.99
Motorola Razr 5G | Unlocked| Made for US by Motorola | 8/256GB | 48MP Camera | 2020 | Blush Gold, $599.99

Digicel web site 

APPLE IPHONE 13 PROMAX 256GB,  J$ 191,648.00  + GCT 

Ebay web site 

Apple iPhone 6 - 16GB - Space Gray (Unlocked) A1549 (CDMA + GSM), $62.99
Apple iPhone 11 128 GB Black (Without Simlock) A2221 (CDMA + GSM), $127.08
Apple iPhone 13 Pro Max - 128GB - Graphite (Unlocked), $378.91
Apple iPhone 12 Pro Max - 256GB - Graphite Accessory Pack Protective Glass & Case, $1,006.14
Excellent Condition Apple iPhone 5s Unlocked 16GB Model Verizon At&t Tmobile, $44.99
Apple iPhone 5 - 16GB - Black & Slate (Unlocked) A1428 (GSM), $33.99
Apple iPhone 6s Plus - 16GB - Silver (Unlocked) A1687 (CDMA + GSM), $38.00
Apple iPhone 4s 32GB Black/white (Unlocked) (CDMA + GSM) IOS6 Sealed Smartphone, $54.00
Apple iPhone 1st 8GB black | unlocked  2G GSM network | working very well, $96.00
iPhone 8 64gb Rose Gold A1905 GSM Unlocked, $109.00
Apple iPhone 8 64GB Gold Unlocked Sim Free A1905 AVERAGE CONDITION GRADE C 677, $122.22
IPhone 11 64gb used, $367.59
Apple iPhone 11 - 64GB - Yellow (Unlocked) A2221 (CDMA + GSM), $138.12
Apple iPhone XS Gold 64GB  Factory Unlocked  Great Condition, $199.95
Lot of 8 Apple iPhone 11 Pro Max 64gb Unlocked Mixed Colors, $4,100.00
Apple iPhone X 256GB Space Grey Unlocked Sim Free A190 GOOD GRADE B/C 620, $232.22
Apple iPhone 11 Pro 256GB Midnight Green Unlocked A2215 AVERAGE CONDITION 674, $366.68
SHORT BOX by Apple iPhone 14 - 512GB - Midnight Original Packaging Box, $1.05
MINT Apple iPhone 6s Plus 32GB Gold Unlocked A1687 EXCELLENT CONDITION 656, $134.44
Apple iPhone 6s Plus 16GB Space Grey Unlocked A1687 Good Condition Grade B 628, $109.99
Apple iPhone XR - 64GB - Red (Unlocked) A2105 (GSM), $189.46
Apple iPhone 11 - 64GB -  Great Condition - Black (Unlocked) A2221 (CDMA + GSM), $281.13
iPhone 11 128GB UNLOCKED - Purple (SIM-free), $281.13
Apple iPhone 6s Plus 32GB Gold Unlocked A1687 Good Condition Grade B 583, $116.11
iPhone 11 4GB 64GB White Single SIM + eSIM Apple Warranty, $525.01
Apple iPhone XR - 64GB - White, $220.00
Poor Apple iPhone SE 2nd Gen. - 64GB - Red (Unlocked) A2275 (CDMA + GSM), $89.99
Apple iPhone XR - 64GB - Black (Unlocked) A2105 (GSM), $122.23
IPhone XS, $262.56
Apple iPhone XS - 64GB - Space Grey (Unlocked), $220.01
Apple iPhone 8 Plus - 64GB - Space Grey (Unlocked) A1897 (GSM), $140.56
iPhone 12 Pro 128gb Gold, $291.31
Apple iPhone SE 2nd Gen. - 64GB - Black (Cricket Wireless) A2275 (CDMA + GSM), $65.00
Apple iPhone 11 - 64GB - White (Unlocked) A2221 (GSM), $268.91
Apple iPhone 8 Plus - 256GB - Space Gray (Unlocked) ORIGINAL BOX, $185.00
Apple iPhone 11 Pro - 64GB - Space Grey (Unlocked)  MINT CONDITION, $179.68
Apple iPhone X - 256GB - Silver (Unlocked) A1901 (GSM), $195.57
Apple iPhone 11 Pro - 64GB - Midnight Green (Unlocked) A2215 (CDMA + GSM), $336.13
iphone 14 pro max - Bogus, $263.61
Apple iPhone 12 mini 128GB Purple (Without Simlock), $513.57
IPHONE 12 12 12 128GB BLUE COLOR, $651.16
Apple iPhone XR 64GB Black Unlocked A2105 Faulty Software Issue 699, $0.01
APPLE IPHONE 11 64GB BLACK REFURBISHED| REPLACED DISPLAY AND 1 YEAR WARRANTY, $320.33
Apple iPhone 12 - 64GB - Black (Unlocked) A2403 (CDMA + GSM), $91.67
APPLE IPHONE 14 PRO 256GB NEW 5G SPACE BLACK - Official Apple, $1,678.30
iPhone X 64 GB black partial defect, $84.02
Second-hand Apple iPhone 5c - 16GB| Blue (Unlocked), $48.88

