product_name,price 

Amazon web site 

BLACK+DECKER EM031MB11 Digital Microwave Oven with Turntable Push-Button Door| Child Safety Lock| 1000W| 1.1cu.ft| Black & Stainless Steel| 1.1 Cu.ft, $117.62
COMFEE' EM720CPL-PM Countertop Microwave Oven with Sound On/Off| ECO Mode and Easy One-Touch Buttons| 0.7 Cu Ft/700W| Pearl White, $80.31
BLACK+DECKER EM720CB7 Digital Microwave Oven with Turntable Push-Button Door| Child Safety Lock| 700W| Stainless Steel| 0.7 Cu.ft, $89.99
TOSHIBA EM925A5A-BS Countertop Microwave Oven| 0.9 Cu Ft With 10.6 Inch Removable Turntable| 900W| 6 Auto Menus| Mute Function & ECO Mode| Child Lock| LED Lighting| Black Stainless Steel, $99.99
Galanz GLCMKA07BER-07 Retro Microwave Oven| LED Lighting| Pull Handle Design| Child Lock| Bebop Blue| 0.7 cu ft, $69.00
Farberware Compact Countertop Microwave Oven| 0.7 Cu. Ft. 700-Watt with LED Lighting| Child Lock| Easy Clean Grey Interior| Retro Black, $83.39
BLACK+DECKER EM031MB11 Digital Microwave Oven with Turntable Push-Button Door| Child Safety Lock| 1000W| 1.1cu.ft| Black & Stainless Steel| 1.1 Cu.ft, $117.62
Farberware Classic FMO07AHTBKJ 0.7 Cu. Ft. 700-Watt Microwave Oven with LED Lighting| Brushed Stainless Steel, $89.99
TOSHIBA ML-EM45PIT(SS) Countertop Microwave Oven With Inverter Technology| Kitchen Essentials| Smart Sensor| Auto Defrost| 1.6 Cu Ft| 13.6" Removable Turntable| 33lb.&1350W| Stainless Steel, $169.99
Farberware FMO11AHTPLB 1.1 Cu. Ft. 1000-Watt Microwave Oven with LED Lighting Cubic Feet| White/Platinum, $109.99
COMFEE' EM720CPL-PM Countertop Microwave Oven with Sound On/Off| ECO Mode and Easy One-Touch Buttons| 0.7 Cu Ft/700W| Pearl White, $80.31
TOSHIBA EM925A5A-SS Countertop Microwave Oven| 0.9 Cu Ft With 10.6 Inch Removable Turntable| 900W| 6 Auto Menus| Mute Function & ECO Mode| Child Lock| LED Lighting| Stainless Steel, $108.22
Panasonic Microwave Oven NN-SN686S Stainless Steel Countertop/Built-In with Inverter Technology and Genius Sensor| 1.2 Cubic Foot| 1200W, $202.99
Galanz Microwave Oven ExpressWave with Patented Inverter Technology| Sensor Cook & Sensor Reheat| 10 Variable Power Levels| Express Cooking Knob| 1250W 2.2 Cu Ft Stainless Steel GEWWD22S1SV125, $151.70
COMFEE' CM-M093ARD Retro Microwave with 9 Preset Programs| Fast Multi-stage Cooking| Turntable Reset Function Kitchen Timer| Mute Function| ECO Mode| LED digital display| 0.9 cu.ft| 900W| Red, $112.75
BLACK+DECKER EM036AB14 Digital Microwave Oven with Turntable Push-Button Door| Child Safety Lock| Stainless Steel| 1.4 Cu.ft, $164.99
Panasonic Microwave Oven NN-SN966S Stainless Steel Countertop/Built-In with Inverter Technology and Genius Sensor| 2.2 Cubic Foot| 1250W, $299.95
Commercial Chef CHM770B Countertop Microwave| 0.7 Cubic Feet| Black, $81.59
BLACK+DECKER EM036AB14 Digital Microwave Oven with Turntable Push-Button Door| Child Safety Lock| Stainless Steel| 1.4 Cu.ft, $164.99
TOSHIBA ML2-EM09PA(BS) Small Countertop Microwave Oven With 6 Auto Menus| Kitchen Essentials| Mute Function & ECO Mode| 0.9 Cu Ft| 10.6 Inch Removable Turntable| 900W| Black Color, $99.99

Casami web site 

MICROWAVE 1.1CFT WHIRLPOOL WMS11YWHE , $125,00
MICROWAVE KITCHEN-AID 1.6CU F , $400,00
MICROWAVE KITCHEN-AID 2.0 CU KMHS120ESS , $800,00
MICROWAVE MIDEA 20L BLANC EM720C2HA-PMOA00, $105,00
MICROWAVE WHIRLPOOL 0.9CUFT WMG09SFE , $157,00

Digicel web site 


Ebay web site 

Shop on eBay, $20.00
Amana Radarange Magnetron RR-720 OEM 2M172J Part P76603-1M Microwave C87617-8TT, $249.95
wilko Microwave| Auto Menu Settings| 5 Power Levels| Digital Timer| 20L, $98.34 to $104.49
wilko Diamond Pattern Microwave| Turnable Glass Plate Microwave| 20L, $92.20
0.9 Cu. Ft. Stainless Steel Countertop Microwave Oven, $59.00
HELLO KITTY 0.7 CU FT Microwave Oven MW-07009, $40.00
Swan Microwave Oven 700W LED Digital Display 20L - Black, $45.48
Bosch Built in Integrated Microwave, $76.22
3 SPARE SILICONE RUBBER MICROWAVE FEET TRIVET FOOT 4 Wire Rack Tray Oven BOSCH 2, $4.79 to $5.41
Toshiba 800w 20L Microwave Oven with Function Defrost and 5 Power Levels| Stylis, $71.89
Samsung Microwave OEM Vent Damper Assembly DE71-60051B, $13.00
3 MICROWAVE SPARE'S TRIVET FEET SILICONE RUBBER 4 Grill Rack Stand oven NEFF LG1, $4.79 to $5.41
GE JES1657SMSS 1.6 Cu. Ft. Microwave with Sensor Cooking - Stainless Steel, $99.00
Daewoo 1.1 cu ft 1|000 watt Microwave Oven, $69.00
Amana Radarange P76603-1M Part Microwave Oven RR-720 Tricon 206-00086, $19.95
GE JES1072SHSS 700W Countertop Microwave Oven - Stainless Steel, $400.00
Asynchronous Motor Cooling Fan Motor for Midea Microwave Oven MDT-10CEF Part BM, $20.59
Samsung MG11H2020CT 1.1 cu ft 1000W Countertop Microwave Oven, $150.00
Frigidaire 30 Inch Over the Range Microwave with Multi-Stage Cooking|FFMV1645TS , $239.00
microwave, $36.88
GENUINE WHIRLPOOL PANASONIC BAUKNECHT 25W T170 MICROWAVE OVEN LIGHT BULB LAMP, $12.28
Microwave Oven Glass Wheel Roller Guide Ring Turntable Support Rotating Plastic, $7.51 to $9.11
Miele M 7240 TC built-in microwave oven stainless steel| free ship Worldwide, $3,000.00
Samsung Smart SLIM 1.1-cu ft 1100-Watt Over-the-Range Microwave Sensor Cooking, $479.99
Samsung MS19M8000AS 1.9 cu. ft 950W 1.9 Cu. Ft. Countertop Microwave with Sensor, $149.95
Kenmore Frigidaire Microwave Humidity Sensor 5304481519 5304509652, $54.99
GE 1.1cu.ft. Countertop Microwave Oven - Stainless Steel Brand New!, $60.00
Countertop 0.7 Cu.ft Digital Kitchen Microwave Oven RV Dorm Mini Small Led White, $74.82
Microwave Oven Combo 3 IN 1 Johnson microonde 30, $125.40
GRAINGER APPROVED 21HE87 Microwave|Consumer|900 Watts|Black, $164.07
GRAINGER APPROVED 21HE86 Microwave|Consumer|900 Watts|White, $178.72
Snap-On Vintage Red Toolbox Microwave Oven, $550.00
Asynchronous Motor Cooling Fan Motor fit for Midea Microwave Oven MDT-10CEF Part, $23.80
Bosch BFR634GS1 built-in Solo microwave stainless steel|free ship Worldwide, $1,200.00
(Dented) Cuisinart AMW60 Black 3-in-1 Microwave AirFryer Convection Toaster Oven, $199.99
LG SAMSUNG SHARP PANASONIC Microwave Oven High Voltage Capacitor 1.1uF 2100V, $20.35
Toshiba large microwave oven 7820W, $7.36
Sharp 1.5 Cu Ft. Over The Counter Microwave Black R1210T Carousel complete unit, $299.00
Whirlpool 2.2-cu ft 1200-Watt Countertop Microwave (Fingerprint Resistant Stain, $279.99
ML2-EM09PA(BS) Small Countertop Microwave Oven with 6 Auto Menus| Kitchen Essent, $160.11
Vintage Goldstar ER-760M Microwave Oven WORKS!!!! 1986 Excellent Condition, $63.74
2 Microwave Oven Lamp Light Globe Bulb SAMSUNG LG SHARP PANASONIC STRAIGHT SPADE, $16.95
Insignia 1.1 Cu. Ft. Microwave NS-MW11BS9 - Black Stainless Steel FREE SHIP, $74.99
New in Box Sealed Mainstays  0.7 Cu ft Capacity| Countertop Microwave Oven| Red, $77.95
Delonghi 900W Enamel Cavity Solo Microwave AM9 - Black front glass broken, $49.16
Bosch BER634GS1 built-in microwave with grill |free shipping Worldwide, $1,800.00
Microwave Bulb Sharp Sanyo Samsung Daewoo Smeg Bosch 25w T170 Light Lamp Genuine, $29.94
Microwave Oven Glass Turntable Round Fitting Base Plate Bracket Support RollerUS, $7.22 to $8.75
Panasonic Countertop Microwave Oven w/ Inverter Technology Model NN-SN744SA, $130.90
Kenmore 70919 0.9 cu ft 900W Countertop Microwave Oven Black, $119.95
Miele Bosch Neff  Siemens  Microwave  Oven WAVE GUIDE COVER, $10.16
Microwave Oven Combo 3 IN 1 Johnson microonde 30, $153.00
For Liebherr Door Handle Fridge Freezer Refrigerator Grab Bar Grip White 215mm, $34.41
Samsung 1.1 cu. ft 1000W Countertop Microwave Oven Stainless Steel MG11H2020CT, $135.00
SEARS 22-84196 KENMORE MICROWAVE UNDER CABINET MOUNTING BRACKET NIB, $39.97
Caso IMCG 25 black combi Microwave with grill and hot air|free ship Worldwide, $590.00
BOSCH COA565GS0 built-in microwave with steaming function stainless steel, $1,990.00
Hot Point Compact Countertop Microwave Oven 700 Watt - Black; dS, $25.00
Commercial Chef Countertop Microwave Oven 0.6 Cu. Ft Black, $123.43
Neff built in microwave, $60.24
Miele M 8261-1 Built-in Microwave Oven With Grill, $542.96
 Delonghi microwave oven, $35.65
Vintage 1970's Kenmore Sears Microwave Wood Grain Brown Dial Lever 747.9957910 , $399.99
Russell Hobbs Compact Manual Microwave User Guide, $1.23
Amana Radarange Microwave Oven Cooking Guide 3-Ring Binder 1968 Vintage Cookbook, $9.99
GE JES1657SMSS 1.6 CU FT 1150W SENSOR MICROWAVE STAINLESS STEEL COUNTER-TOP  0-2, $125.99
Vintage Sharp Half Pint Carousel Glass Plate for Compact Dorm Microwave R-120DB, $49.95
SHARP CAROUSEL MICROWAVE OVEN Model R-3A96 R-3A86 R-3A66 R-3A36 OPERATION MANUAL, $9.99
Panasonic NN-SB658S 1.3 cu ft Inverter Microwave Oven Stainless Steel Countertop, $119.90
Vintage Amanda Radarange Microwave Oven Crome Replacement Plate, $99.99
Vintage Sharp Half Pint Carousel Turntable Roller for Dorm Microwave R-120DB, $49.95
Samsung 24 Inch Wide 1.9 cu. ft. 950 Watt Free Standing Microwave w/ Sensor Cook, $214.94

Valerio Canez web site 

WCRF5640GL - Gas Oven White 20" 4 burners + Glass Cover Westpoint, $255.00
ECO-1524 - Automatic Inverter 1500 Watts 24VDC 60HZ Powertek, $395.00
WBHN-2417 -  7cuft Chest Freezer WESTPOINT, $495.00
WRN-1416.E.1 - Réfrigérateur de 5cuft 2 Portes Manuel Westpoint, $400.00
TEJ-2420.A - TV LED 24" WESTPOINT, $195.00
EM5022BAPBO - 20'' MABE GAS RANGE WHITE, $325.00
WSTX-615.1 - Lave-Linge Monotube de 6KG 110V/ 60HZ Westpoint, $225.00
T-105 - 6 Volts 225 Amps Deep Cycle Battery Trojan, $235.00
WSPA-27519.P - 275 Watts Polycristallin Solar Panel Westpoint, $170.00
WTX-717.1 - Machine Ã  laver Twin Tub 6 kg WESTPOINT, $275.00
WIX-1220.L.1 - AIR CONDITIONNER SPLIT 12|000 BTU 110V INVERTER WESTPOINT, $625.00
ECO-1512 - Automatic Inverter 1500 Watts 12VDC 60HZ Powertek, $395.00
WBHN-1621  -  5cuft Chest Freezer WESTPOINT, $395.00
BB024F - Bunk Bed Twin/Full made with 50mm Tube Black Color, $325.00
