product_name,price 

Amazon web site 


Casami web site 

FOUR SAMSUNG 5.8CUFT NX58N3315SS/AP OVEN THERMAL , $1 100,00
FOUR SAMSUNG 5.8CUFT NX58N5605SS/AP OVEN THERMAL , $1 200,00
FOUR SAMSUNG 5.9 120V 60HZ NX60T8755SS , $2 800,00
FOUR SAMSUNG 6.0 CUFT NX60A6115SS  THERMAL , $1 200,00
MACHINE A LAVER SAMSUNG WV27M9900AV/AX, $1 500,00
MACHINE A SECHER  SAMSUNG DVE55M9600V/A3 FCD SEA 7.5, $1 499,00
MACHINE A SECHER SAMSUG DV42H5000EW/A3  , $699,00
REFR. SAMSUNG INVERTER 14 CUFT TWIN COOLING RT38K5000SL/AP , $925,00
REFRIGERATEUR SAMSUNG  BLANC RT29K500JWW/AP , $700,00
REFRIGERATEUR SAMSUNG  STAINLESS 300L RT29K500JS8/AP , $800,00
REFRIGERATEUR SAMSUNG 26.5 CUFT RS27T5200B1/AP, $1 899,00
REFRIGERATEUR SAMSUNG 26HFENDSG / AP BLACK CAVIAR , $1 900,00
REFRIGERATEUR SAMSUNG NOIR  SIDE BY SIDE RS27T5561B1/AP , $2 800,00
REFRIGERATEUR SAMSUNG RT38K5930BS 14CUFT, $975,00
SAMSUNG  MONITOR 32'' LU32R591CWNXZA, $500,00

Digicel web site 

Samsung Galaxy A03s + FREE 7 Day Prime Brawta Bundle, Review                
SAMSUNG GALAXY DS A03s 64GB,  J$ 24,408.00  + GCT 
SAMSUNG GALAXY A7 LITE 32GB LTE (SIM-CARD),  J$ 31,818.27  + GCT 
SAMSUNG GALAXY A13 128GB ,  J$ 33,900.00  + GCT 
SAMSUNG GALAXY DS A23 128GB - NEW!,  J$ 36,747.60  + GCT 
SAMSUNG GALAXY DS A33 5G,   Special Price J$ 45,032.76  + GCT  
SAMSUNG DS S20FE (780G) 128GB,  J$ 66,783.00  + GCT 
SAMSUNG GALAXY A73 128GB,  J$ 76,614.00  + GCT 
SAMSUNG GALAXY S21FE 256GB (NEW!),  J$ 107,937.60  + GCT 
SAMSUNG GALAXY S22 ULTRA 128GB - NEW!,  J$ 204,756.00  + GCT 

Ebay web site 

Shop on eBay, $20.00
SAMSUNG Galaxy Z Fold4 5G SM-F936N 256/512GB/1TB Unlocked Foldable ⭐Tracking⭐, $1,253.28 to $1,713.49
Case Friendly Tempered Glass Screen Protector For Samsung Galaxy S22 ULTRA , $9.74
Samsung Galaxy S22Ultra 5G SM-R908N 256/512GB/1TB Unlocked Snapdragon ⭐Tracking⭐, $969.49 to $1,213.49
Samsung Galaxy S10 SM-G973F/DS - 128GB - Prism Blue (Without Simlock), $262.59
Samsung Galaxy S8 SM-G950U 64GB Black - Unlocked, $60.00
Samsung Galaxy S7 SM-G930F - 32GB - Gold Platinum (Unlocked) - see description, $60.97
SAMSUNG GALAXY S7 EDGE SM-G935P (SPRINT) 32GB SMART PHONE - USED, $42.46
Samsung Galaxy S7 SM-G930 - 32GB - Black Unlocked Mint Condition, $73.17
Samsung Galaxy J3 6 white| working condition, $34.90
Samsung Galaxy XCover 5 LTE SM-G525 Unlocked Sealed Black ⭐Tracking⭐, $172.20
Samsung Galaxy S10+ PLUS - SM-G975F/DS - 128GB - Prism White - LIKE NEW, $84.03
Samsung Galaxy S10e/S10/S10+ Plus -  All Colors - Factory Unlocked - Good, $145.23
Samsung Galaxy A13 5G SM-A136U - 64GB - Black boost mobile. Forgot pass code , $25.00
SAMSUNG GALAXY S8 SM-G950U - 64GB - MIDNIGHT BLACK (VERIZON) - CLEAN IMEI -RESET, $63.71
Samsung N975U Galaxy Note 10+ Plus 256GB Unlocked Smartphone - Very Good US Ver, $300.00
Samsung Galaxy S10 SM-G973F/DS - 128GB - Prism Black (Without Simlock), $262.59
Samsung Galaxy S10e SM-G970U  128GB Sprint/TMobile. Prism Black  MINT, $108.00
Samsung Galaxy S20 Plus 5G  SM-G986B/DS - 128GB - Cosmic Grey  (Unlocked)..., $108.53
Samsung Galaxy Note10 SM-N970U - 256GB - Aura Black (Verizon) (Single SIM), $99.99
Samsung Galaxy Fold 5G - 512GB - Cosmos Black (Unlocked) Smartphone , $467.04
Samsung Galaxy S20 FE SM-G780G/DS - 128GB - Cloud Red (Without Simlock), $126.04
Samsung Galaxy Note 8 SM-N950F/DS| 64GB| Maple Gold Duos - Display Burned In, $141.80
Samsung Galaxy S9+ SM-G965 - 64GB - Coral Blue (Verizon) Used - condition GOOD, $75.00
Samsung Galaxy S8 Active SM-G892A - 64GB (GSM Unlocked) Gray Gold Blue, $69.99 to $129.99
Case For Samsung Galaxy S10 S20 S21 Plus S20 FE A12 Cover Clear Screen Protector, $3.65 to $4.87
Samsung Galaxy Note9 SM-N960F - 512GB - Black (Unlocked) (Cracked Glass), $48.78
Samsung Galaxy S9+ Plus (SM-G965U) 64GB - Coral Blue (Unlocked) Smartphone, $105.00
Samsung Galaxy S10e SM-G970 - 128GB - Prism White (Without Simlock) (Single SIM), $68.27
For Samsung Galaxy S10 Plus Full Curved Tempered Glass Screen Protector Clear, $7.30
Samsung a53 5g + Samsung Buds, $238.43
For Samsung Galaxy S22 ULTRA Note20 S21 Screen Protector Tempered Glass Cover, $7.30 to $9.74
Samsung Galaxy S9+ SM-G965 - 64GB - Midnight Black (AT&T), $100.00
Case For Samsung Galaxy S20 Ultra| S20 Plus| S20| S21 Leather Flip Wallet Cover, $4.01 to $5.23
Samsung Galaxy S8 SM-G950F - 64GB - coral blue (Unlocked) , $30.97
Samsung Galaxy Z Flip3 5G SM-F711U - 128GB - Phantom Black (Unlocked), $352.00
Samsung Galaxy S21 +5G, $365.84
Samsung Galaxy Note 20 Ultra 5G N986U (Factory Unlocked) 128GB Phone - Very Good, $394.99
Samsung Galaxy A72 SM-A725F/DS - 128GB - Awesome Black (Without Simlock) (Dual SIM), $225.83
Samsung Galaxy A50 SM-A505U 64GB+4GB RAM 25MP LTE Unlocked Smartphone-New Sealed, $175.00
Samsung Galaxy S10 SM-G973F 128GB Prism Black Unlocked Single SIM Smashed 670, $97.54
Samsung Galaxy S10e - SM-G970U - 128GB - Black (AT&T - Locked) (a04507), $22.50
Samsung Galaxy S20/S20+ 5G G981U - T-Mobile/AT&T/Verizon Or Unlocked - Excellent, $164.54 to $240.25
Samsung Galaxy XCover 5 LTE  Unlocked Sealed Black SM-G525, $173.10
Samsung Galaxy A51 SM-A515F/DSN - 128GB - (Without Simlock)...Screen faulty., $99.78
Samsung Galaxy Xcover 5 (SM-G525F/DS) Unlocked Very Good Cond. 5.3" 64GB 16MP 4G, $98.78
Samsung Galaxy A5 SM-A500FU 16GB (Possibly Locked) - White, $36.57
Samsung Galaxy S20 Ultra 5G SM-G988W Unlocked || Fully Functional || Great Deal, $329.90
Samsung Galaxy S20 FE 5G SM-G781B/DS - 128GB - white, $243.89
Samsung A50| 64GB| Coral| Open Box, $99.00
Samsung Galaxy S9+ SM-G965F/DS 6.2inch Dual SIM 128GB 6GB RAM (Unlocked)..., $121.95
Samsung Galaxy S21 5G| 128GB - Phantom Grey (Unlocked), $335.35
Samsung Galaxy Z Fold 4 F936U1 512GB (Factory Unlocked) Smartphone - Excellent, $1,079.99 to $1,199.99
Samsung Galaxy S9 64GB - Midnight Black (Unlocked) (Dual SIM) Good Condition, $105.04
Samsung Galaxy S20 Plus 5G SM-G986B - 128GB - Cosmic Black (Unlocked) (Single..., $219.50
Samsung Galaxy S20 5G - 128GB - Cloud Blue SM-G981B, $243.89
Samsung Galaxy S20 5G SM-G981W - 128GB - Cosmic Gray (Unlocked) Best Deal !!, $257.16
Samsung galaxy a50, $105.04
Fair Samsung Galaxy S21 5G G991U 128GB Pink - GSM Unlocked + More, $189.99
For Samsung S22 S21 S20 S10 PLUS ULTRA  Tempered Glass LCD Screen Protector Film, $4.26
Samsung Galaxy A90 5G SM-A908B - 128GB - Black (Unlocked) Smartphone, $169.99
Joblot Old Mobile phones- Samsung| LG| Nokia| etc-Please Read Description, $12.18
Samsung Galaxy S22 Ultra SM-S908B/DS - 128GB - Phantom Black Brand New Sealed, $914.59
New in box Samsung Galaxy Mega I9152 Android GSM Unlocked DUAL SIM Smartphone, $60.00
Samsung Galaxy S10 SM-G973 - 128GB - Prism White (Without Simlock) (Single SIM), $262.59
Samsung Galaxy S22 Ultra 5G SM-S908U1 Factory Unlocked 256GB 512GB - All Colors, $799.99 to $899.99
NEW Samsung Galaxy S10+ Plus G975U 128GB Unlocked GSM+CDMA AT&T T-Mobile Verizon, $274.88
Samsung Galaxy S10 G973 128GB Factory Unlocked Smartphone Prism Blue - Very Good, $169.99
Samsung Galaxy Note 20 Ultra 128GB SM-N986W Unlocked- Fully Functional !!, $403.38
Samsung Galaxy S9 G960F 64GB Purple Black Without Sim-Lock Single SIM, $194.30
Samsung Galaxy S20 FE Unlocked 5G SM-G781V - 128GB - Cloud Navy OB, $265.00
Samsung Galaxy S20 Plus 5G 128GB Factory Unlocked Fully Functional Excellent, $278.47
Samsung Galaxy S22 5G SM-S901U(GALAXY S22 5G)  Unlocked Fully Functional!!, $440.12
Samsung Galaxy S22 5G SM-S901U - 128GB / 256GB - All Colors - (Unlocked) - A, $459.00 to $529.00
Samsung Galaxy S20 | S20+ | S20 FE | S20 Ultra 5G 128GB Unlocked AT&T Verizon A+, $204.25 to $389.45

